Код	Категория	Тип	Торговая марка	Цвет	Фото цвета	Размер	Цена	Штрих-код	Страна	Описание	Состав	Производитель	Артикул на сайте	Полное наименование	Фото (через ;)	Наименование на сайте	Распродажа
1025041Лег-мп	Верхний трикотаж	Леггинсы	Lolita	Piedra	http://darsitrade.ru/import/images/cjan_25041ped.jpg	M	2134.08	8422091704292	Испания	Зауженные брюки с имитацией карманов.	POLIESTER 88%, VISCOSA    8%, ELASTANO   4%	Janira	1025041Лег	1025041 Леггинсы Janira (.M Piedra)	http://darsitrade.ru/import/images/leg_jan_25041.jpg;http://darsitrade.ru/import/images/leg_jan_25041_20.jpg	1025041 Леггинсы	
1025044Лег-лдп	Верхний трикотаж	Леггинсы	Janira	Dessert_pink	http://darsitrade.ru/import/images/cjan_desertpink.jpg	L	1299	8422091704780	Испания	Леггинсы с имитацией карманов и застежки.	VISCOSA   70%, POLIAMIDA 25%, ELASTANO   5%	Janira	1025044Лег	1025044 Леггинсы Janira (L Dessert_pink)	http://darsitrade.ru/import/images/leg_jan_25044.jpg;http://darsitrade.ru/import/images/leg_jan_25044_10.jpg;http://darsitrade.ru/import/images/leg_jan_25044_20.jpg	1025044 Леггинсы	Да
1025052Лег-мсг	Верхний трикотаж	Леггинсы	Janira	Stone_green	http://darsitrade.ru/import/images/cjan_25052zel.jpg	M	1699	8422091705756	Испания	Леггинсы - имитация джинсов.	ALGODON   96%, ELASTANO   4%	Janira	1025052Лег	1025052 Леггинсы Janira (.M Stone_green)	http://darsitrade.ru/import/images/leg_jan_25052.jpg;http://darsitrade.ru/import/images/leg_jan_25052_10.jpg;http://darsitrade.ru/import/images/leg_jan_25052_20.jpg	1025052 Леггинсы	Да
1025052Лег-лсг	Верхний трикотаж	Леггинсы	Janira	Stone_green	http://darsitrade.ru/import/images/cjan_25052zel.jpg	L	1699	8422091705763	Испания	Леггинсы - имитация джинсов.	ALGODON   96%, ELASTANO   4%	Janira	1025052Лег	1025052 Леггинсы Janira (L Stone_green)	http://darsitrade.ru/import/images/leg_jan_25052.jpg;http://darsitrade.ru/import/images/leg_jan_25052_10.jpg;http://darsitrade.ru/import/images/leg_jan_25052_20.jpg	1025052 Леггинсы	Да
1025056Лег-лб	Верхний трикотаж	Леггинсы	Janira	Beige	http://darsitrade.ru/import/images/cjan_dore.jpg	L	1499	8422091706203	Испания	Зауженные брюки с карманами на поясе.	ALGODON   75%, POLIAMIDA 20%, ELASTANO   5%	Janira	1025056Лег	1025056 Леггинсы Janira (L Beige)	http://darsitrade.ru/import/images/leg_jan_25056.jpg;http://darsitrade.ru/import/images/leg_jan_25056_10.jpg	1025056 Леггинсы	Да
1030217Ут-мбл	Утягивающее белье	Утяжки	Janira	Blanco	http://darsitrade.ru/import/images/cjan_bianco.jpg	M	1609.11	8422091324575	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (.M Blanco)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030217Ут-мс	Утягивающее белье	Утяжки	Janira	Cava	http://darsitrade.ru/import/images/cjan_cava.jpg	M	1609.11	8422091342869	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (.M Cava)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030217Ут-мд	Утягивающее белье	Утяжки	Janira	Dune	http://darsitrade.ru/import/images/cjan_dune.jpg	M	1609.11	8422091532949	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (.M Dune)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030217Ут-мн	Утягивающее белье	Утяжки	Janira	Negro	http://darsitrade.ru/import/images/cjan_negro.jpg	M	1609.11	8422091324605	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (.M Negro)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030217Ут-мнл	Утягивающее белье	Утяжки	Janira	Nilo	http://darsitrade.ru/import/images/cjan_nilo.jpg	M	1609.11	8422091324636	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (.M Nilo)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030217Ут-лбл	Утягивающее белье	Утяжки	Janira	Blanco	http://darsitrade.ru/import/images/cjan_bianco.jpg	L	1609.11	8422091324582	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (L Blanco)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030217Ут-лс	Утягивающее белье	Утяжки	Janira	Cava	http://darsitrade.ru/import/images/cjan_cava.jpg	L	1609.11	8422091342876	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (L Cava)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030217Ут-лд	Утягивающее белье	Утяжки	Janira	Dune	http://darsitrade.ru/import/images/cjan_dune.jpg	L	1609.11	8422091532956	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (L Dune)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030217Ут-лн	Утягивающее белье	Утяжки	Janira	Negro	http://darsitrade.ru/import/images/cjan_negro.jpg	L	1609.11	8422091324612	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (L Negro)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030217Ут-лнл	Утягивающее белье	Утяжки	Janira	Nilo	http://darsitrade.ru/import/images/cjan_nilo.jpg	L	1609.11	8422091324643	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (L Nilo)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
1030217Ут-хбл	Утягивающее белье	Утяжки	Janira	Blanco	http://darsitrade.ru/import/images/cjan_bianco.jpg	XL	1609.11	8422091324599	Испания	Трусы-утяжка приподнимают ягодицы, выравнивая и создавая стройный силуэт. Плоские швы и материал в виде сеточки делают невидимыми под любой обтягивающей одеждой.	POLIAMIDA 70%, ELASTANO  30%	Janira	1030217Ут	1030217 Утяжка Secrets Janira (XL Blanco)	http://darsitrade.ru/import/images/u_jan_1030217.jpg	1030217 Утяжка Secrets	
